userID,gender,age,occupation,zipCode,city,state,lat,long,country
1,F,12.0,10,48067,ROYAL OAK,MI,42.5,-83.15,US
2,M,68.0,16,70072,MARRERO,LA,29.88,-90.11,US
3,M,29.5,15,55117,SAINT PAUL,MN,44.94,-93.1,US
4,M,47.0,7,2460,NEWTONVILLE,MA,42.35,-71.2,US
5,M,29.5,20,55455,MINNEAPOLIS,MN,44.96,-93.26,US
6,F,52.5,9,55117,SAINT PAUL,MN,44.94,-93.1,US
7,M,39.5,1,6810,DANBURY,CT,41.4,-73.47,US
8,M,29.5,12,11413,SPRINGFIELD GARDENS,NY,40.66,-73.75,US
9,M,29.5,17,61614,PEORIA,IL,40.74,-89.6,US
10,F,39.5,1,95370,SONORA,CA,37.98,-120.39,US
11,F,29.5,1,4093,BUXTON,ME,43.66,-70.6,US
12,M,29.5,12,32793,WINTER PARK,FL,28.59,-81.34,US
13,M,47.0,1,93304,BAKERSFIELD,CA,35.33,-119.02,US
14,M,39.5,0,60126,ELMHURST,IL,41.89,-87.94,US
15,M,29.5,7,22903,CHARLOTTESVILLE,VA,38.03,-78.48,US
16,F,39.5,0,20670,PATUXENT RIVER,MD,38.28,-76.42,US
17,M,52.5,1,95350,MODESTO,CA,37.67,-121.01,US
18,F,21.0,3,95825,SACRAMENTO,CA,38.58,-121.4,US
19,M,12.0,10,48073,ROYAL OAK,MI,42.5,-83.15,US
20,M,29.5,14,55113,SAINT PAUL,MN,44.94,-93.1,US
21,M,21.0,16,99353,WEST RICHLAND,WA,46.31,-119.37,US
22,M,21.0,15,53706,MADISON,WI,43.07,-89.38,US
23,M,39.5,0,90049,LOS ANGELES,CA,34.08,-118.49,US
24,F,29.5,7,10023,NEW YORK,NY,40.71,-73.99,US
25,M,21.0,4,1609,WORCESTER,MA,42.26,-71.8,US
26,M,29.5,7,23112,MIDLOTHIAN,VA,37.5,-77.63,US
27,M,29.5,11,19130,PHILADELPHIA,PA,39.95,-75.16,US
28,F,29.5,1,14607,ROCHESTER,NY,43.16,-77.61,US
29,M,39.5,7,33407,WEST PALM BEACH,FL,26.74,-80.12,US
30,F,39.5,7,19143,PHILADELPHIA,PA,39.95,-75.16,US
31,M,68.0,7,6840,NEW CANAAN,CT,41.14,-73.49,US
32,F,29.5,0,19355,MALVERN,PA,40.03,-75.51,US
33,M,47.0,3,55421,MINNEAPOLIS,MN,44.96,-93.26,US
34,F,21.0,0,2135,BRIGHTON,MA,42.35,-71.15,US
35,M,47.0,1,2482,WELLESLEY,MA,42.3,-71.28,US
36,M,29.5,3,94123,SAN FRANCISCO,CA,37.8,-122.43,US
37,F,29.5,9,66212,OVERLAND PARK,KS,38.9,-94.68,US
38,F,21.0,4,2215,BOSTON,MA,42.35,-71.06,US
39,M,21.0,4,61820,CHAMPAIGN,IL,40.11,-88.26,US
40,M,47.0,0,10543,MAMARONECK,NY,40.93,-73.72,US
41,F,21.0,4,15116,GLENSHAW,PA,40.52,-79.95,US
42,M,29.5,8,24502,LYNCHBURG,VA,37.4,-79.19,US
43,M,29.5,12,60614,CHICAGO,IL,41.83,-87.68,US
44,M,47.0,17,98052,REDMOND,WA,47.68,-122.12,US
45,F,47.0,16,94110,SAN FRANCISCO,CA,37.74,-122.41,US
46,M,21.0,19,75602,LONGVIEW,TX,32.51,-94.76,US
47,M,21.0,4,94305,STANFORD,CA,37.41,-122.17,US
48,M,29.5,4,92107,SAN DIEGO,CA,32.73,-117.24,US
49,M,21.0,12,77084,HOUSTON,TX,29.76,-95.38,US
50,F,29.5,2,98133,SEATTLE,WA,47.73,-122.34,US
51,F,12.0,10,10562,OSSINING,NY,41.15,-73.87,US
52,M,21.0,4,72212,LITTLE ROCK,AR,34.72,-92.35,US
53,M,29.5,0,96931,TAMUNING,GU,13.48,144.77,US
54,M,52.5,1,56723,FISHER,MN,47.79,-96.79,US
55,F,39.5,12,55303,ANOKA,MN,45.21,-93.39,US
56,M,39.5,20,60440,BOLINGBROOK,IL,41.7,-88.07,US
57,M,21.0,19,30350,ATLANTA,GA,33.97,-84.32,US
58,M,29.5,2,30303,ATLANTA,GA,33.75,-84.39,US
59,F,52.5,1,55413,MINNEAPOLIS,MN,44.96,-93.26,US
60,M,52.5,1,72118,NORTH LITTLE ROCK,AR,34.78,-92.25,US
61,M,29.5,17,95122,SAN JOSE,CA,37.33,-121.83,US
62,F,39.5,3,98105,SEATTLE,WA,47.66,-122.29,US
63,M,21.0,4,54902,OSHKOSH,WI,44.01,-88.55,US
64,M,21.0,1,53706,MADISON,WI,43.07,-89.38,US
65,M,39.5,12,55803,DULUTH,MN,46.78,-92.11,US
66,M,29.5,18,57706,ELLSWORTH AFB,SD,44.14,-103.07,US
67,F,52.5,5,60181,VILLA PARK,IL,41.88,-87.97,US
68,M,21.0,4,53706,MADISON,WI,43.07,-89.38,US
69,F,29.5,1,2143,SOMERVILLE,MA,42.39,-71.1,US
70,M,21.0,4,53703,MADISON,WI,43.07,-89.38,US
71,M,29.5,14,95008,CAMPBELL,CA,37.28,-121.95,US
72,F,47.0,0,55122,SAINT PAUL,MN,44.94,-93.1,US
73,M,21.0,4,53706,MADISON,WI,43.07,-89.38,US
74,M,39.5,14,94530,EL CERRITO,CA,37.91,-122.3,US
75,F,12.0,10,1748,HOPKINTON,MA,42.22,-71.52,US
76,M,39.5,7,55413,MINNEAPOLIS,MN,44.96,-93.26,US
77,M,21.0,4,15321,CECIL,PA,40.33,-80.21,US
78,F,47.0,1,98029,ISSAQUAH,WA,47.55,-122.0,US
79,F,47.0,0,98103,SEATTLE,WA,47.67,-122.34,US
80,M,68.0,1,49327,GRANT,MI,43.33,-85.81,US
81,F,29.5,0,60640,CHICAGO,IL,41.83,-87.68,US
82,M,29.5,17,48380,MILFORD,MI,42.58,-83.6,US
83,F,29.5,2,94609,OAKLAND,CA,37.83,-122.26,US
84,M,21.0,4,53140,KENOSHA,WI,42.58,-87.85,US
85,M,21.0,4,94945,NOVATO,CA,38.13,-122.56,US
86,F,12.0,10,54467,PLOVER,WI,44.46,-89.54,US
87,M,29.5,14,48360,LAKE ORION,MI,42.78,-83.24,US
88,F,47.0,1,2476,ARLINGTON,MA,42.41,-71.16,US
89,F,68.0,9,85749,TUCSON,AZ,32.28,-110.73,US
90,M,68.0,13,85749,TUCSON,AZ,32.28,-110.73,US
91,M,39.5,7,7650,PALISADES PARK,NJ,40.84,-73.99,US
